Issue Key,Title,Link,Labels,Project ID,Status,Description Filename,Resolution,Comments Filename
IGNITE-10321,Bug in CacheContinuousWithTransformerReplicatedSelfTest.LocalEventListener causes certain tests to flak.,https://issues.apache.org/jira/browse/IGNITE-10321,MakeTeamcityGreenAgain,12315922,Resolved,flak_apache_jira_description_comments/IGNITE-10321_description.txt,Fixed,flak_apache_jira_description_comments/IGNITE-10321_comments.txt
HBASE-18502,Change MasterObserver to use TableDescriptor and ColumnFamilyDescriptor,https://issues.apache.org/jira/browse/HBASE-18502,,12310753,Resolved,flak_apache_jira_description_comments/HBASE-18502_description.txt,Fixed,flak_apache_jira_description_comments/HBASE-18502_comments.txt
AXIS-1984,WSDL2Java should use xml commons resolver to resolve xs:import/include URIs,https://issues.apache.org/jira/browse/AXIS-1984,,10460,In Progress,flak_apache_jira_description_comments/AXIS-1984_description.txt,,flak_apache_jira_description_comments/AXIS-1984_comments.txt
ZEPPELIN-4723,Configure Security Features in Zeppelin to be enabled by default,https://issues.apache.org/jira/browse/ZEPPELIN-4723,security,12316221,Closed,flak_apache_jira_description_comments/ZEPPELIN-4723_description.txt,Fixed,flak_apache_jira_description_comments/ZEPPELIN-4723_comments.txt
XERCESC-1150,XMLStringPool is not useful as a base class,https://issues.apache.org/jira/browse/XERCESC-1150,,10510,Closed,flak_apache_jira_description_comments/XERCESC-1150_description.txt,Fixed,flak_apache_jira_description_comments/XERCESC-1150_comments.txt
HBASE-15549,Undo HMaster carrying regions in master branch as default,https://issues.apache.org/jira/browse/HBASE-15549,,12310753,Resolved,flak_apache_jira_description_comments/HBASE-15549_description.txt,Fixed,flak_apache_jira_description_comments/HBASE-15549_comments.txt
HBASE-2863,HBASE-2553 removed an important edge case ,https://issues.apache.org/jira/browse/HBASE-2863,,12310753,Closed,flak_apache_jira_description_comments/HBASE-2863_description.txt,Fixed,flak_apache_jira_description_comments/HBASE-2863_comments.txt
CAMEL-17000,Upgrade to junit 5.8.x,https://issues.apache.org/jira/browse/CAMEL-17000,,12311211,Resolved,flak_apache_jira_description_comments/CAMEL-17000_description.txt,Fixed,flak_apache_jira_description_comments/CAMEL-17000_comments.txt
SUREFIRE-1584,Rerun Failing Tests with JUnit 5,https://issues.apache.org/jira/browse/SUREFIRE-1584,junit5,12317927,Closed,flak_apache_jira_description_comments/SUREFIRE-1584_description.txt,Fixed,flak_apache_jira_description_comments/SUREFIRE-1584_comments.txt
HDFS-6581,Write to single replica in memory,https://issues.apache.org/jira/browse/HDFS-6581,,12310942,Closed,flak_apache_jira_description_comments/HDFS-6581_description.txt,Fixed,flak_apache_jira_description_comments/HDFS-6581_comments.txt
RATIS-1153,Implement ChannelInboundHandler.exceptionCaught in NettyServerStreamRpc,https://issues.apache.org/jira/browse/RATIS-1153,,12320820,Resolved,flak_apache_jira_description_comments/RATIS-1153_description.txt,Fixed,flak_apache_jira_description_comments/RATIS-1153_comments.txt
HADOOP-16794,S3A reverts KMS encryption to the bucket's default KMS key in rename/copy,https://issues.apache.org/jira/browse/HADOOP-16794,pull-request-available,12310240,Resolved,flak_apache_jira_description_comments/HADOOP-16794_description.txt,Fixed,flak_apache_jira_description_comments/HADOOP-16794_comments.txt
IMPALA-10999,Flakiness in TestAsyncLoadData.test_async_load,https://issues.apache.org/jira/browse/IMPALA-10999,"broken-build, flaky-test",12321021,Resolved,flak_apache_jira_description_comments/IMPALA-10999_description.txt,Fixed,flak_apache_jira_description_comments/IMPALA-10999_comments.txt
AXISCPP-672,WSDL2Ws fails when message has no parts,https://issues.apache.org/jira/browse/AXISCPP-672,,10461,Closed,flak_apache_jira_description_comments/AXISCPP-672_description.txt,Cannot Reproduce,flak_apache_jira_description_comments/AXISCPP-672_comments.txt
